Target(Class),GyroX,GyroY,GyroZ,AccX,AccY,AccZ
3,-7.473282442748093,8.534351145038169,9.732824427480915,0.193115234375,0.084716796875,-0.912841796875
1,-2.221374045801527,3.221374045801527,-1.809160305343511,-0.013916015625,0.125244140625,-1.136474609375
4,0.6641221374045801,4.1603053435114505,0.7786259541984732,0.506591796875,-0.2431640625,-0.92041015625
3,-1.030534351145038,-1.885496183206107,0.2748091603053435,0.280029296875,-0.263427734375,-1.13037109375
2,0.2900763358778626,5.045801526717558,1.969465648854962,0.3564453125,-0.107666015625,-1.001220703125
3,-7.717557251908397,5.083969465648855,1.6183206106870232,0.235595703125,-0.087890625,-1.0234375
1,1.236641221374046,1.33587786259542,0.1755725190839695,0.057373046875,-0.102783203125,-1.285888671875
2,1.1145038167938932,2.1908396946564888,-23.290076335877856,-0.00439453125,-0.164306640625,-0.957275390625
3,0.5648854961832062,7.595419847328245,1.7862595419847331,0.416015625,-0.085205078125,-0.84033203125
2,-0.8625954198473282,2.3969465648854964,0.1297709923664122,0.284912109375,-0.099853515625,-0.9404296875
1,-1.6793893129770991,5.946564885496183,5.786259541984732,0.1220703125,-0.03369140625,-1.16650390625
2,5.00763358778626,4.854961832061068,1.702290076335878,0.2666015625,-0.212646484375,-0.856201171875
1,-0.7557251908396947,4.503816793893129,0.9541984732824428,0.222412109375,-0.087158203125,-0.990234375
2,4.32824427480916,3.175572519083969,-19.519083969465647,0.117919921875,-0.373046875,-0.707763671875
1,-9.83969465648855,4.755725190839693,3.717557251908397,0.304931640625,-0.01611328125,-0.804443359375
1,8.267175572519085,7.587786259541985,0.4732824427480916,0.469482421875,-0.266357421875,-0.964111328125
3,-6.33587786259542,4.404580152671755,36.48091603053435,0.154296875,0.495361328125,-1.00537109375
3,-0.9847328244274808,4.122137404580153,1.022900763358779,0.182373046875,-0.042236328125,-0.999755859375
1,-2.49618320610687,11.09160305343512,3.3511450381679397,0.498046875,-0.235595703125,-1.35986328125
2,-2.839694656488549,4.908396946564887,1.267175572519084,0.3583984375,-0.13623046875,-1.064453125
4,0.0534351145038167,6.977099236641222,0.2290076335877863,0.124755859375,0.007568359375,-0.963623046875
2,-1.213740458015267,10.77862595419847,-2.458015267175572,0.412353515625,-0.2216796875,-0.960693359375
4,-0.5954198473282443,3.5801526717557253,0.8778625954198473,0.18017578125,-0.03369140625,-0.96240234375
2,-1.3816793893129773,4.2671755725190845,0.8778625954198473,0.31201171875,-0.134765625,-1.024658203125
4,1.954198473282443,6.0458015267175576,0.7786259541984732,0.012451171875,0.021484375,-0.92431640625
1,-0.4580152671755725,6.0,1.312977099236641,0.53662109375,-0.177978515625,-1.012939453125
1,-1.106870229007634,3.656488549618321,0.7786259541984732,0.158935546875,-0.111572265625,-0.971435546875
3,-7.541984732824428,7.068702290076335,0.9923664122137404,0.283447265625,-0.16162109375,-0.92724609375
3,2.7480916030534357,7.396946564885495,2.450381679389313,0.1767578125,-0.149169921875,-0.98095703125
1,4.732824427480916,5.839694656488549,1.6183206106870232,0.4541015625,-0.231201171875,-0.969970703125
2,7.0458015267175576,4.030534351145038,1.038167938931298,0.256591796875,-0.16943359375,-0.92626953125
1,-0.7709923664122137,5.106870229007634,-0.3511450381679389,0.16845703125,-0.0732421875,-0.992431640625
4,-1.030534351145038,1.4427480916030535,0.2290076335877863,0.0400390625,0.13427734375,-1.087646484375
2,-10.73282442748092,8.992366412213743,1.4732824427480915,0.350341796875,-0.08984375,-1.00244140625
2,-2.007633587786259,5.122137404580153,1.885496183206107,0.275146484375,-0.1240234375,-0.95751953125
2,1.6793893129770991,4.251908396946565,0.4198473282442748,0.3154296875,-0.12744140625,-1.217041015625
3,-11.37404580152672,4.236641221374046,19.67175572519084,0.425048828125,0.197265625,-1.261474609375
2,-1.175572519083969,4.534351145038168,2.351145038167939,0.16845703125,-0.022216796875,-1.007080078125
3,-9.847328244274811,1.931297709923664,24.274809160305335,0.247314453125,0.500732421875,-1.021728515625
1,-0.7938931297709924,5.1679389312977095,0.7404580152671756,0.197021484375,-0.095703125,-0.99560546875
4,-0.3816793893129771,6.061068702290076,1.083969465648855,0.631591796875,-0.34423828125,-0.95751953125
1,-2.450381679389313,8.442748091603054,-0.5572519083969466,0.332275390625,-0.120849609375,-1.015625
2,2.198473282442748,7.351145038167938,-1.259541984732824,0.3388671875,-0.21337890625,-1.094970703125
3,-2.7480916030534357,0.9770992366412212,0.7557251908396947,0.10107421875,-0.0244140625,-0.964599609375
2,-1.748091603053435,3.229007633587786,2.3587786259541983,0.374267578125,-0.0673828125,-0.9765625
2,2.854961832061069,-3.755725190839695,-25.83969465648855,-0.06689453125,-0.48583984375,-0.95068359375
3,2.839694656488549,5.435114503816794,0.4809160305343512,0.22119140625,-0.217529296875,-1.1416015625
2,2.351145038167939,0.4198473282442748,-28.038167938931306,0.0751953125,-0.424560546875,-0.885498046875
1,-0.4045801526717557,4.229007633587786,0.900763358778626,0.156494140625,-0.088134765625,-0.9853515625
3,0.916030534351145,2.183206106870229,-0.1068702290076336,0.3056640625,-0.154296875,-0.888427734375
3,-1.66412213740458,7.068702290076335,0.2977099236641221,0.20556640625,-0.149169921875,-1.03173828125
3,0.4122137404580153,2.473282442748092,-0.5114503816793893,0.2880859375,-0.203125,-1.069091796875
