29553	8
28419	5
11567	4
22667	0
28890	0
24236	7
26903	7
22909	3
11900	2
13026	1
26821	1
10917	1
11838	1
26133	2
27185	4
17214	4
22258	8
23939	9
20161	9
11796	10
22430	11
11399	10
23099	4
13628	4
21988	4
12715	8
21843	9
17383	9
26105	12
23604	22
21772	12
14803	12
18360	12
13274	12
23540	12
25039	12
14960	13
20711	13
24943	13
20182	13
13985	15
16138	16
21936	16
28852	7
20538	9
26293	44
12615	13
22413	14
13001	14
28609	19
12947	19
28371	21
19534	22
17000	22
11826	22
23387	22
17557	30
17167	30
10540	30
25180	34
18216	38
15887	38
18894	12
28361	12
23563	13
25637	14
13651	15
25728	19
16652	19
12066	19
25049	16
26860	17
20330	18
24253	18
14411	19
13075	19
25735	23
19715	23
17922	24
18685	25
14485	16
21156	17
18603	21
23152	21
10322	32
19460	34
14764	38
20385	40
12945	45
20655	46
22950	49
21312	52
17667	53
22826	56
11884	58
21740	59
29112	61
17437	15
19995	16
15056	17
12873	17
26760	17
27526	17
15338	30
12335	31
28919	31
16699	33
19291	25
25727	50
17097	13
15370	14
13069	15
16616	15
21205	15
25816	16
10064	16
13009	16
28869	17
23816	17
18704	17
13327	18
11312	18
24269	19
25704	19
12772	20
21918	20
24519	21
25949	21
18224	21
21061	22
11633	22
22357	24
19486	24
29011	24
26638	24
10923	24
21215	26
11458	26
19918	26
19269	26
23906	27
14669	27
28447	27
19146	28
29547	28
21793	28
24982	28
27120	29
24141	29
23929	29
26102	29
13188	30
12958	30
20691	30
21809	31
21669	32
10741	32
18984	32
17310	33
29246	34
29306	35
22510	35
15492	35
24779	6
19960	6
14020	6
11601	7
18497	11
27990	15
23690	17
28092	25
19391	28
28694	30
22979	31
27234	32
11587	32
27881	40
10464	42
21534	42
17731	54
17253	28
11159	28
12481	30
18680	31
26859	40
21804	30
21277	30
26019	32
14083	33
21812	33
12903	33
21311	38
12528	38
17093	32
18099	33
17412	35
11048	36
21657	36
14210	36
24543	37
16219	38
23409	38
14991	6
16083	7
15070	7
14393	7
10039	8
11858	8
25246	8
29346	8
17125	8
17632	9
14459	9
24425	9
24080	10
14551	10
26414	12
24649	12
20930	12
22917	12
13415	46
26980	46
26317	48
29001	51
17794	52
23842	56
20053	57
11909	58
23756	58
21376	59
22626	60
18019	61
19444	62
17868	15
23822	17
17051	17
19917	18
27998	18
13212	21
22473	22
10434	26
19550	26
12013	31
26658	31
18627	32
18449	33
11793	33
24188	35
12609	35
15431	37
22234	37
10049	38
11208	38
25627	39
23349	41
28245	44
16853	45
16049	47
20497	47
25904	47
29515	49
28824	50
21100	52
25303	53
18988	53
10246	56
29338	60
28362	62
22915	9
24219	9
28648	9
13336	12
29126	12
14981	13
26958	13
23545	13
22501	18
28246	18
28340	18
22250	28
12595	28
16439	20
28032	23
21881	23
17108	23
28934	23
24348	23
25457	24
18168	24
10218	25
21403	25
24149	25
14377	25
11131	25
19590	26
21743	26
18796	26
21617	26
14786	26
27150	28
19666	28
14972	28
24589	28
19305	29
17452	31
27748	31
17230	31
19561	33
12716	15
24242	8
28111	8
20061	8
24521	11
14561	4
15686	57
18733	60
14295	41
19593	43
24903	43
25091	44
25191	45
11345	0
14268	0
23426	57
23329	57
25870	57
22719	58
14061	77
25122	80
21480	80
16092	9
25229	13
13338	17
23902	20
15780	21
29441	22
21973	23
20566	6
15920	8
25356	15
28446	15
21401	15
10903	17
14745	17
23432	18
24272	18
28803	18
18291	18
19957	20
28272	20
15425	21
23562	21
25162	6
17059	53
25665	54
12023	55
17539	55
23833	55
18599	56
19010	59
26149	60
13543	61
15741	61
10607	37
23633	38
16102	38
12330	38
17363	39
28526	39
20766	39
17581	39
13222	40
17784	41
26227	42
24815	42
22828	43
19980	43
