iter	Passed	Remaining
437	1368	14249
438	1371	14245
439	1373	14239
440	1376	14234
441	1379	14230
442	1382	14225
443	1386	14222
444	1388	14217
445	1391	14212
446	1394	14207
447	1397	14202
448	1400	14196
449	1403	14192
450	1406	14186
451	1409	14181
452	1412	14176
453	1415	14172
454	1418	14168
455	1421	14163
456	1424	14158
457	1427	14153
458	1430	14149
459	1433	14144
460	1436	14139
461	1439	14135
462	1441	14129
463	1447	14145
464	1450	14143
465	1453	14137
466	1455	14132
467	1458	14128
468	1462	14124
469	1464	14119
470	1467	14115
471	1470	14110
472	1473	14106
473	1476	14102
474	1479	14097
475	1482	14093
476	1485	14089
477	1488	14085
478	1491	14080
479	1494	14075
480	1497	14071
481	1500	14069
482	1504	14066
483	1507	14062
484	1510	14057
485	1513	14053
486	1515	14048
487	1518	14043
488	1521	14038
489	1524	14033
490	1527	14029
491	1530	14025
492	1533	14020
493	1536	14016
494	1539	14011
495	1542	14007
496	1545	14002
497	1548	13997
498	1551	13993
499	1554	13989
500	1557	13984
501	1560	13980
502	1563	13976
503	1566	13972
504	1569	13968
505	1572	13963
506	1575	13959
507	1578	13956
508	1581	13952
509	1584	13949
510	1587	13945
511	1590	13941
512	1593	13936
513	1596	13932
514	1599	13928
515	1602	13924
516	1605	13919
517	1608	13915
518	1611	13911
519	1614	13906
520	1617	13901
521	1620	13897
522	1623	13893
523	1626	13891
524	1629	13887
525	1632	13883
526	1635	13878
527	1638	13874
528	1640	13869
529	1645	13879
530	1648	13875
531	1651	13871
532	1654	13867
533	1657	13863
534	1660	13858
535	1663	13855
536	1666	13850
537	1669	13845
538	1672	13841
539	1675	13836
540	1678	13831
541	1681	13827
542	1684	13823
543	1687	13818
544	1690	13814
545	1693	13811
546	1696	13807
547	1698	13802
548	1701	13797
549	1704	13793
550	1707	13789
551	1710	13785
552	1713	13780
553	1716	13776
554	1719	13772
555	1722	13769
556	1725	13764
557	1728	13760
558	1731	13755
559	1734	13751
560	1737	13749
561	1740	13744
562	1743	13740
563	1746	13735
564	1749	13730
565	1752	13726
566	1755	13721
567	1758	13717
568	1760	13711
569	1763	13707
570	1766	13703
571	1769	13699
572	1772	13695
573	1775	13691
574	1778	13686
575	1781	13682
576	1784	13678
577	1787	13675
578	1790	13672
579	1793	13667
580	1796	13663
581	1799	13659
582	1802	13654
583	1805	13650
584	1808	13645
585	1811	13642
586	1814	13638
587	1817	13634
588	1820	13631
589	1823	13627
590	1826	13623
591	1829	13619
592	1832	13616
593	1835	13612
594	1838	13607
595	1840	13603
596	1847	13624
597	1850	13621
598	1853	13618
599	1856	13614
600	1859	13610
601	1862	13606
602	1865	13601
603	1868	13598
604	1871	13594
605	1874	13590
606	1877	13587
607	1880	13584
608	1883	13580
609	1886	13576
610	1889	13575
611	1892	13571
612	1895	13567
613	1898	13563
614	1901	13559
615	1904	13555
616	1907	13552
617	1911	13552
618	1914	13549
619	1917	13546
620	1920	13542
